URL,Version,Status,OIDs,Name,Title,Descriptino,Used
http://fhir.kl.dk/term/CodeSystem/CareSocialCodes,2.1.0,active,,CareSocialCodes,CareSocialCodes,"Administrative/technical codes in Local Govenment Denmark (KL), associated with common use cases across areas or kl-core","ValueSet/DeliveryTypes119,ValueSet/ServiceTypes119,ValueSet/EncounterClassCodes,ValueSet/CancellationTypes,ValueSet/CarePlanCategories119"
http://hl7.dk/fhir/core/CodeSystem/dk-core-municipality-codes,3.2.0,active,,MunicipalityCodes,DK Municipality Codes,"Municipality codes as defined by https://danmarksadresser.dk/adressedata/kodelister/kommunekodeliste/ and https://sundhedsdatastyrelsen.dk/-/media/sds/filer/rammer-og-retningslinjer/patientregistrering/relaterede/kommuneklassifikation.pdf","ValueSet/dk-core-MunicipalityCodes"
http://hl7.dk/fhir/core/CodeSystem/dk-core-municipality-codes-greenland,3.2.0,active,,GreenlandMunicipalityCodes,DK Greenland Municipality Codes,"Greenland municipality codes as defined by https://www.iso.org/obp/ui/#iso:code:3166:GL and https://cpr.dk/cpr-systemet/kommunesammenlaegninger-opdeling/groenland-2018/","ValueSet/dk-core-MunicipalityCodes"
http://hl7.dk/fhir/core/CodeSystem/dk-marital-status,3.2.0,active,,DkMaritalStatus,DK Marital Statuses,"DK marital statuses","ValueSet/dk-marital-status"
http://hl7.dk/fhir/core/CodeSystem/dk-relatedperson-relationshipcodes,3.2.0,active,,DkRelatedPersonRelationshipCodes,DK Related Person Relationship Codes,"DK Related Person Relationship Codes","ValueSet/dk-core-RelatedPersonRelationshipTypes"
http://hl7.org/fhir/address-type,4.0.1,active,"2.16.840.1.113883.4.642.4.70",AddressType,AddressType,"The type of an address (physical / postal).","ValueSet/address-type"
http://hl7.org/fhir/address-use,4.0.1,active,"2.16.840.1.113883.4.642.4.68",AddressUse,AddressUse,"The use of an address.","ValueSet/address-use"
http://hl7.org/fhir/administrative-gender,4.0.1,active,"2.16.840.1.113883.4.642.4.2",AdministrativeGender,AdministrativeGender,"The gender of a person used for administrative purposes.","ValueSet/administrative-gender"
http://hl7.org/fhir/bundle-type,4.0.1,active,"2.16.840.1.113883.4.642.4.621",BundleType,BundleType,"Indicates the purpose of a bundle - how it is intended to be used.","ValueSet/bundle-type"
http://hl7.org/fhir/care-plan-activity-status,4.0.1,draft,"2.16.840.1.113883.4.642.4.147",CarePlanActivityStatus,CarePlanActivityStatus,"Codes that reflect the current state of a care plan activity within its overall life cycle.","ValueSet/care-plan-activity-status"
http://hl7.org/fhir/encounter-location-status,4.0.1,draft,"2.16.840.1.113883.4.642.4.263",EncounterLocationStatus,EncounterLocationStatus,"The status of the location.","ValueSet/encounter-location-status"
http://hl7.org/fhir/encounter-status,4.0.1,draft,"2.16.840.1.113883.4.642.4.247",EncounterStatus,EncounterStatus,"Current state of the encounter.","ValueSet/encounter-status"
http://hl7.org/fhir/http-verb,4.0.1,active,"2.16.840.1.113883.4.642.4.625",HTTPVerb,HTTPVerb,"HTTP verbs (in the HTTP command line). See [HTTP rfc](https://tools.ietf.org/html/rfc7231) for details.","ValueSet/http-verb"
http://hl7.org/fhir/identifier-use,4.0.1,active,"2.16.840.1.113883.4.642.4.58",IdentifierUse,IdentifierUse,"Identifies the purpose for this identifier, if known .","ValueSet/identifier-use"
http://hl7.org/fhir/link-type,4.0.1,active,"2.16.840.1.113883.4.642.4.424",LinkType,LinkType,"The type of link between this patient resource and another patient resource.","ValueSet/link-type"
http://hl7.org/fhir/name-use,4.0.1,active,"2.16.840.1.113883.4.642.4.66",NameUse,NameUse,"The use of a human name.","ValueSet/name-use"
